longitude,latitude,elevation_m,defensive_suitability,offensive_suitability,artillery_suitability
86.508042,27.504347,3325,0.289646,0.423362,0.581183
86.508042,27.542076,3040,0.283531,0.416361,0.577537
86.521517,27.507042,2903,0.279048,0.410101,0.573262
86.521517,27.544771,2903,0.262239,0.427127,0.684034
86.508042,27.525907,3175,0.287220,0.421141,0.580543
86.499957,27.542076,3418,0.291485,0.425354,0.582118
86.499957,27.504347,3127,0.264444,0.425020,0.638533
86.499957,27.509737,3315,0.289620,0.423464,0.581358
86.499957,27.520517,3622,0.279153,0.499107,0.787687
86.499957,27.515127,3490,0.273816,0.451874,0.711739
86.502652,27.520517,3569,0.278140,0.497366,0.785995
86.510737,27.539381,2948,0.259913,0.419370,0.604792
86.510737,27.515127,3529,0.270191,0.429579,0.602224
86.513432,27.501652,3119,0.283037,0.414246,0.575004
86.518822,27.504347,2958,0.282597,0.415870,0.577820
86.505347,27.501652,3230,0.287263,0.420395,0.579412
86.508042,27.531297,2967,0.280028,0.410965,0.573459
86.502652,27.512432,3471,0.269579,0.429319,0.612965
86.516127,27.544771,2884,0.281834,0.415575,0.578205
86.505347,27.539381,3159,0.285299,0.417836,0.577792
86.502652,27.525907,3267,0.288871,0.422803,0.581198
86.505347,27.509737,3402,0.268966,0.429218,0.628646
86.513432,27.533991,2881,0.263010,0.444504,0.713560
86.510737,27.542076,2906,0.281133,0.413946,0.576590
86.521517,27.533991,2899,0.262677,0.434813,0.696959
86.518822,27.544771,2859,0.263203,0.453103,0.728432
